# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775718070813000000,1775718130816000000,0
jps.project.serializers.load.ms,1775718070813000000,1775718130816000000,1
jps.module.iml.entities.serializer.save.entities.ms,1775718070813000000,1775718130816000000,6
workspaceModel.global.apply.state.to.project.builder.ms,1775718070813000000,1775718130816000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1775718070813000000,1775718130816000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1775718070813000000,1775718130816000000,0
jps.facet.change.listener.init.bridge.ms,1775718070813000000,1775718130816000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775718070813000000,1775718130816000000,2
jps.project.serializers.save.ms,1775718070813000000,1775718130816000000,13
workspaceModel.mutableEntityStorage.referrers.ms,1775718070813000000,1775718130816000000,0
jps.save.changed.project.entities.ms,1775718070813000000,1775718130816000000,13
jps.facet.change.listener.process.change.events.ms,1775718070813000000,1775718130816000000,1
Indexes.stubs.lookupDurationAvgMs,1775718070813000000,1775718130816000000,0.55
Indexes.entries.lookupDuration90PMs,1775718070813000000,1775718130816000000,0.0
Indexes.entries.lookups,1775718070813000000,1775718130816000000,31.0
VFSFlusher.totalFlushes,1775718070813000000,1775718130816000000,4
IndexesFlusher.totalContentionQuotaSpent,1775718070813000000,1775718130816000000,0
VFSFlusher.totalFlushesRetried,1775718070813000000,1775718130816000000,0
Indexes.allKeys.lookupDurationMaxMs,1775718070813000000,1775718130816000000,0.0
Indexes.stubs.lookups,1775718070813000000,1775718130816000000,20.0
Indexes.stubs.lookupDurationMaxMs,1775718070813000000,1775718130816000000,5.0
Indexes.stubs.lookupDuration90PMs,1775718070813000000,1775718130816000000,1.0
VFSFlusher.totalFlushingTimeUs,1775718070813000000,1775718130816000000,28871
VFSFlusher.totalContentionQuotaSpent,1775718070813000000,1775718130816000000,0
Indexes.allKeys.lookups,1775718070813000000,1775718130816000000,0.0
IndexesFlusher.totalFlushingTimeUs,1775718070813000000,1775718130816000000,452163
Indexes.allKeys.lookupDuration90PMs,1775718070813000000,1775718130816000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1775718070813000000,1775718130816000000,0.0
IndexesFlusher.totalFlushesRetried,1775718070813000000,1775718130816000000,0
IndexesFlusher.totalFlushes,1775718070813000000,1775718130816000000,59
Indexes.entries.lookupDurationMaxMs,1775718070813000000,1775718130816000000,0.0
Indexes.entries.lookupDurationAvgMs,1775718070813000000,1775718130816000000,0.0
FileNameCache.totalMisses,1775718070813000000,1775718130816000000,1685
FileNameCache.fastMisses,1775718070813000000,1775718130816000000,13220
FileNameCache.queries,1775718070813000000,1775718130816000000,205381
OS.loadAverage,1775718070813000000,1775718130816000000,3.00390625
JVM.threadCount,1775718070813000000,1775718130816000000,113
JVM.maxNativeBytes,1775718070813000000,1775718130816000000,-1
JVM.totalCpuTimeMs,1775718070813000000,1775718130816000000,9282
JVM.GC.collectionTimesMs,1775718070813000000,1775718130816000000,26
JVM.maxHeapBytes,1775718070813000000,1775718130816000000,2147483648
JVM.usedHeapBytes,1775718070813000000,1775718130816000000,307395968
JVM.GC.collections,1775718070813000000,1775718130816000000,1
JVM.usedNativeBytes,1775718070813000000,1775718130816000000,372901384
workspaceModel.updates.ms,1775718070813000000,1775718130816000000,85
workspaceModel.collect.changes.ms,1775718070813000000,1775718130816000000,0
workspaceModel.pre.handlers.ms,1775718070813000000,1775718130816000000,1
workspaceModel.updates.count,1775718070813000000,1775718130816000000,5
